base_country,StringType,8,3,92435827,19070634,73365193,0.7936878522220611,N/A,N/A,N/A,N/A,19070634,1,66,111,0,3,78,106,42,N/A,N/A,19058939,8600,2083,1004,3,2,2,1,0,0,0.9993868,4.5095512E-4,1.09225526E-4,5.264639E-5,1.5730993E-7,1.0487328E-7,1.0487328E-7,5.243664E-8,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
base_province,StringType,41,5,92435827,19070635,73365192,0.7936878414037449,N/A,N/A,N/A,N/A,13802237,23,2,1,16,15,10,22,19,7,20,2687673,2452942,2164628,1541171,1489554,836881,792324,677729,583632,575703,0.14093253,0.12862402,0.11350581,0.080813825,0.0781072,0.043883223,0.041546807,0.035537828,0.0306037,0.030187929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
base_city,StringType,1197,5,92435827,19485586,72950241,0.7891987702993126,N/A,N/A,N/A,N/A,9019645,2,1,32,30,17,28,12,0,14,477,2452474,2164004,921015,893918,540258,517288,405863,388882,368355,367588,0.12586093,0.111056656,0.047266476,0.04587586,0.027726034,0.026547212,0.020828884,0.01995742,0.018903973,0.018864611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
htl_fistorderdays,IntegerType,1354,4,92435827,43334752,49101075,0.5311909526162405,555.4314685128462,404.8206902745284,1.0,1438.0,917934,69,68,67,70,66,434,433,71,117,98,116520,113942,103390,100997,82490,82280,81148,79492,78927,78748,0.0026888351,0.0026293446,0.002385845,0.0023306238,0.001903553,0.0018987071,0.0018725848,0.0018343707,0.0018213327,0.0018172021,12,50,86,122,158,212,259,312,379,437,477,517,572,641,735,837,951,1093,1217,1337,1424
female,IntegerType,1,1,92435827,92435827,0,0.0,0.0,0.0,0.0,0.0,92435827,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92435827,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,IntegerType,1,1,92435827,92435827,0,0.0,0.0,0.0,0.0,0.0,92435827,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92435827,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isanonymous,IntegerType,2,1,92435827,92435827,0,0.0,0.4010915269898543,0.49011948947863854,0.0,1.0,92435827,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55360600,37075227,0,0,0,0,0,0,0,0,0.5989085,0.40109155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
htl_numorderholiday_orders,IntegerType,105,4,92435827,6018370,86417457,0.9348913706370583,0.1347825075560326,1.354819946356602,0.0,1954.0,6017502,0,1,2,3,4,5,6,8,7,9,5246706,766184,1769,991,623,403,306,188,184,148,0.8717819,0.12730756,2.939334E-4,1.6466253E-4,1.035164E-4,6.696165E-5,5.084433E-5,3.1237694E-5,3.057306E-5,2.4591376E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
htl_mobileorder_orders,IntegerType,24,3,92435827,9168291,83267536,0.9008145294140117,0.1098164314374402,0.3219552077757254,0.0,135.0,9168278,0,1,2,7,3,8,11,108,87,34,8162248,1005994,23,3,3,2,2,1,1,1,0.8902693,0.109725356,2.5086463E-6,3.2721474E-7,3.2721474E-7,2.1814316E-7,2.1814316E-7,1.0907158E-7,1.0907158E-7,1.0907158E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
htl_oveorders_orders,IntegerType,2,1,92435827,1174568,91261259,0.9872931520372507,0.3284833232303281,0.4696616117907529,0.0,1.0,1174568,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,788742,385826,0,0,0,0,0,0,0,0,0.67151666,0.3284833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ln_htl_orders_date,IntegerType,14,2,92435827,43334752,49101075,0.5311909526162405,-4.709206320137704,1.2937952477758825,-7.0,7.0,43334703,-5,-6,-4,-3,-7,-2,-1,0,1,2,12108127,11627282,10084737,5231288,1964655,1789007,406832,120811,1834,130,0.27940917,0.2683131,0.23271708,0.12071808,0.04533671,0.041283425,0.009388124,0.002787855,4.232169E-5,2.9999019E-6,-7,-6,-6,-6,-6,-6,-6,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-3,-3,-2,-1
age_30_40,IntegerType,2,1,92435827,92435827,0,0.0,0.022420202937114414,0.14804572752150946,0.0,1.0,92435827,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90363397,2072430,0,0,0,0,0,0,0,0,0.97757983,0.022420203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
age_40_50,IntegerType,2,1,92435827,92435827,0,0.0,0.009762892044012329,0.09832384239313113,0.0,1.0,92435827,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91533386,902441,0,0,0,0,0,0,0,0,0.9902371,0.0097628925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
htl_isover30days,IntegerType,2,1,92435827,92435827,0,0.0,0.4551300330768934,0.4979826162310481,0.0,1.0,92435827,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50365506,42070321,0,0,0,0,0,0,0,0,0.54486996,0.45513004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
htl_ishtluser,IntegerType,2,1,92435827,92435827,0,0.0,0.46880904738375956,0.499026176141985,0.0,1.0,92435827,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49101075,43334752,0,0,0,0,0,0,0,0,0.531191,0.46880907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
